minute,load_kw
816,646.3388700000002
817,647.1668865600002
818,650.3960865600002
819,652.2176948400001
820,651.6380948400002
821,656.4404782800002
822,657.9308865600002
823,660.7460865600003
824,665.9624700000002
825,666.7904948400003
826,667.3700948400003
827,674.5736617200002
828,678.2996534400002
829,678.2168451600003
830,680.9492120400002
831,676.2296203200001
832,668.5292286000001
833,662.9816203200002
834,661.4084037600002
835,659.5867872000002
836,663.6439458000002
837,667.1215126800003
838,669.4398878400003
839,669.8538878400002
840,669.8538878400002
841,667.2871126800003
842,667.2871126800003
843,667.2871126800002
844,667.4527126800002
845,668.1979126800003
846,669.6882961200001
847,672.0066795600003
848,666.9558961200003
849,666.7074712800002
850,665.2998547200002
851,663.9750464400001
852,659.2554630000002
853,658.5102712800001
854,650.5615375200002
855,646.0903789200001
856,643.1924037600002
857,641.4536203200003
858,643.1096120400001
859,642.3643954800002
860,643.9375872000002
861,645.6763789200002
862,646.2559789200002
863,645.5935872000002
864,652.5487623600002
865,650.3959789200002
866,648.0775954800002
867,643.5236286000002
868,637.0652534400002
869,630.0272865600002
870,625.0593031200002
871,620.9193114000002
872,618.0213114000002
873,620.4224865600002
874,625.3076700000003
875,631.4348451600002
876,634.9952451600003
877,638.9696451600001
878,640.2116782800001
879,636.1545196800001
880,631.9317610800002
881,629.0337942000002
882,623.2378438800002
883,618.5182770000002
884,616.0342935600002
885,616.0343184000002
886,616.8623266800003
887,621.0023184000003
888,621.8303432400003
889,624.8111515200002
890,624.4799598000002
891,623.3207763600002
892,628.6199598000002
893,636.1547266800002
894,640.2119184000003
895,643.5239184000003
896,647.4983184000004
897,642.1163598000003
898,634.6644177600003
899,629.5308674400004
900,625.1420948400003
901,616.3649305200003
902,614.7913413600002
903,615.86732736
904,615.86691336
905,616.8605050799999
906,619.75850508
907,619.75850508
908,618.76491336
909,616.77772992
910,612.6377382
911,609.7397382
912,605.59974648
913,602.45334648
914,600.3005382
915,599.05854648
916,599.05854648
917,599.0585464799999
918,597.81655476
919,597.8165547599999
920,599.0585464799999
921,601.95654648
922,603.86095476
923,609.2429381999999
924,609.2429382
925,609.2429382
926,599.96936304
927,595.5809713199999
928,584.2374292799999
929,582.9954375599999
930,582.00184584
931,588.3774209999999
932,590.8614044399999
933,596.82296304
934,598.06495476
935,599.05854648
936,603.1985382
937,606.3449382000001
938,611.72692164
939,614.6249216399999
940,613.3829299199999
941,609.2429381999999
942,601.95654648
943,592.4345713199999
944,585.3965796
945,582.4985796
946,577.11659616
947,576.1230044399999
948,576.37140444
949,575.37781272
950,574.135821
951,575.37781272
952,573.887421
953,574.8810127200001
954,574.88101272
955,574.88101272
956,574.88101272
957,577.36499616
958,576.1230044399999
959,577.11659616
960,578.3585878799998
961,577.1165961599999
962,577.1165961599999
963,578.3585878799998
964,578.3585878799998
965,582.4985795999999
966,586.8869713199999
967,591.02696304
968,595.1669547600001
969,594.5873796
970,597.4853796
971,601.3769713199999
972,605.51696304
973,608.41496304
974,616.03252992
975,613.13452992
976,608.9945382
977,604.85454648
978,601.9565464799999
979,599.05854648
980,599.05854648
981,600.3005382
982,599.0585464799999
983,599.05854648
984,593.92496304
985,589.78497132
986,585.6449795999999
